,Hexagon_ID,geometry,H3_centroids
21,891126d06d3ffff,"POLYGON ((24.944010758516768 60.18004872239447, 24.946694612449956 60.17935927434038, 24.94915185444078 60.180371073684306, 24.948925255764838 60.182072384326034, 24.946241172630657 60.18276184405148, 24.943783917383936 60.181749981462275, 24.944010758516768 60.18004872239447))",POINT (60.18106056462908 24.94646790358776)
22,891126d31dbffff,"POLYGON ((24.910945131176327 60.17539758867214, 24.9136283856746 60.174708853923335, 24.916083486601682 60.17572104750232, 24.915855345990735 60.1774220390434, 24.913171862270964 60.178110785372795, 24.910716748394158 60.17709852857894, 24.910945131176327 60.17539758867214))",POINT (60.176409825078935 24.913400135091464)
23,891126d3007ffff,"POLYGON ((24.909404082587454 60.16758154320803, 24.91208671144584 60.16689272629494, 24.91454116569801 60.16790486074375, 24.914313004032056 60.16960587531629, 24.91163014605332 60.17029470380258, 24.909175678871463 60.16928250614152, 24.909404082587454 60.16758154320803))",POINT (60.16859372047289 24.911858439866617)
24,891126d3077ffff,"POLYGON ((24.917451863667353 60.1655148702956, 24.920134387008396 60.16482583120772, 24.922589132098533 60.16583783718512, 24.922361366859853 60.16753894546795, 24.919678614446365 60.16822799614981, 24.91722385635452 60.16721592695331, 24.917451863667353 60.1655148702956))",POINT (60.16652691910069 24.91990651182505)
25,891126d065bffff,"POLYGON ((24.960113351668927 60.17591092242585, 24.962796993345812 60.175221029708474, 24.96525481657128 60.17623257162721, 24.965029011530362 60.17793406952069, 24.9623451407486 60.17862397395093, 24.959887304123097 60.17761236877324, 24.960113351668927 60.17591092242585))",POINT (60.17692250725844 24.96257107805583)
26,891126d336bffff,"POLYGON ((24.959238319854023 60.16298902927925, 24.961920939334156 60.16229896108252, 24.964377784162696 60.1633103831001, 24.964152022903498 60.16501193656888, 24.96146917448985 60.16570201647073, 24.95901231627937 60.16469053119709, 24.959238319854023 60.16298902927925))",POINT (60.16400049419419 24.961695067914203)
27,891126d3153ffff,"POLYGON ((24.92122220781725 60.17604432414243, 24.923905585901807 60.17535535556924, 24.926361294779344 60.17636741855525, 24.926133638627064 60.17806851333714, 24.923450031338042 60.1787574935188, 24.920994309416223 60.17774536730858, 24.92122220781725 60.17604432414243))",POINT (60.17705642997488 24.923677819715948)
28,891126d300fffff,"POLYGON ((24.912314960794127 60.165191721271704, 24.914997422369662 60.16450279906126, 24.917451863667353 60.1655148702956, 24.91722385635452 60.16721592695331, 24.91454116569801 60.16790486074375, 24.91208671144584 60.16689272629494, 24.912314960794127 60.165191721271704))",POINT (60.16620383532443 24.91476930514281)
29,891126d310bffff,"POLYGON ((24.925678259772017 60.18147067030821, 24.928362096296365 60.18078167851094, 24.930818439367254 60.18179373727582, 24.930590959013422 60.183494851065475, 24.92790689322284 60.184183854485454, 24.92545053706277 60.18317173249148, 24.925678259772017 60.18147067030821))",POINT (60.18248277193351 24.928134505849183)
30,891126d3227ffff,"POLYGON ((24.93936489871707 60.15659783847163, 24.94204687601068 60.15590814446437, 24.94450217604616 60.15691976692228, 24.944275511993666 60.15862114662314, 24.941593305802186 60.15931085227947, 24.939137992571556 60.15829916658429, 24.93936489871707 60.15659783847163))",POINT (60.157609503784975 24.941820101949148)
31,891126d33cfffff,"POLYGON ((24.9386841139821 60.16170179032398, 24.941366487566548 60.16101218994494, 24.943822117658193 60.16202387353916, 24.943595387368774 60.16372522074834, 24.940912784816327 60.164414832776764, 24.93845714153179 60.16340308594504, 24.9386841139821 60.16170179032398))",POINT (60.162713516778346 24.94113964723899)
32,891126d332fffff,"POLYGON ((24.957881968080038 60.173197878177845, 24.96056538068288 60.17250799716622, 24.963022886621793 60.17351954130407, 24.962796993345812 60.175221029708474, 24.960113351668927 60.17591092242585, 24.95765583235253 60.17489931503148, 24.957881968080038 60.173197878177845))",POINT (60.17420946522252 24.960339377187772)
33,891126d317bffff,"POLYGON ((24.933729663536447 60.17940347262539, 24.93641339422998 60.17871425853546, 24.938870028200736 60.17972618869575, 24.938642944649683 60.18142739618034, 24.935958984737944 60.18211662191372, 24.93350233760593 60.181104628517474, 24.933729663536447 60.17940347262539))",POINT (60.18041544565773 24.9361862005541)
34,891126d3117ffff,"POLYGON ((24.919854484270743 60.18625042013162, 24.922538655840427 60.1855616390177, 24.924995025064835 60.18657382423859, 24.92476723576959 60.188274853796486, 24.922082834854844 60.18896364651943, 24.919626452590894 60.1879513980739, 24.919854484270743 60.18625042013162))",POINT (60.18726264820836 24.92231075645338)
35,891126d3387ffff,"POLYGON ((24.9321828561131 60.17158682638875, 24.934865961003315 60.17089753025326, 24.93732194759502 60.17190940144349, 24.937094842448097 60.17361063200101, 24.93441150844076 60.17429993977256, 24.93195550870799 60.173288005349, 24.9321828561131 60.17158682638875))",POINT (60.17259874043934 24.934638745790597)
