,id,lat,lon
854,89089968c8fffff,60.23017832,24.74799469
855,89089968c8fffff,60.23017832,24.74799469
856,89089968c8fffff,60.23017832,24.74799469
857,89089968c8fffff,60.23017832,24.74799469
858,89089968c8fffff,60.23017832,24.74799469
859,89089968c8fffff,60.23017832,24.74799469
860,89089968c97ffff,60.23223,24.73993527
861,89089968c97ffff,60.23223,24.73993527
862,89089968c97ffff,60.23223,24.73993527
863,89089968c9bffff,60.2271333,24.74064584
864,89089968c9bffff,60.2271333,24.74064584
865,89089968ca7ffff,60.23832021,24.75463682
866,89089968ca7ffff,60.23832021,24.75463682
867,89089968cabffff,60.23322314,24.75534542
868,89089968cabffff,60.23322314,24.75534542
869,89089968cafffff,60.23593709,24.75756001
870,89089968cafffff,60.23593709,24.75756001
871,89089968cafffff,60.23593709,24.75756001
872,89089968cafffff,60.23593709,24.75756001
873,89089968cb3ffff,60.2352752,24.74728512
874,89089968cb3ffff,60.2352752,24.74728512
875,89089968cb3ffff,60.2352752,24.74728512
876,89089968cc3ffff,60.22236742,24.74649109
877,89089968cc3ffff,60.22236742,24.74649109
878,89089968cc3ffff,60.22236742,24.74649109
879,89089968cc3ffff,60.22236742,24.74649109
880,89089968cc3ffff,60.22236742,24.74649109
881,89089968cc3ffff,60.22236742,24.74649109
882,89089968cc3ffff,60.22236742,24.74649109
883,89089968cc3ffff,60.22236742,24.74649109
884,89089968cc3ffff,60.22236742,24.74649109
885,89089968cd3ffff,60.2220365,24.74135619
886,89089968cd3ffff,60.2220365,24.74135619
887,89089968cdbffff,60.21965351,24.74427851
888,89089968cdbffff,60.21965351,24.74427851
889,89089968cdbffff,60.21965351,24.74427851
890,89089968d03ffff,60.24712359,24.77156259
891,89089968d03ffff,60.24712359,24.77156259
892,89089968d07ffff,60.24983756,24.77377974
893,89089968d07ffff,60.24983756,24.77377974
894,89089968d07ffff,60.24983756,24.77377974
895,89089968d07ffff,60.24983756,24.77377974
896,89089968d07ffff,60.24983756,24.77377974
897,89089968d0fffff,60.24745403,24.77670315
898,89089968d13ffff,60.24679297,24.7664224
899,89089968d13ffff,60.24679297,24.7664224
900,89089968d2bffff,60.25049823,24.78406232
901,89089968d2bffff,60.25049823,24.78406232
902,89089968d2bffff,60.25049823,24.78406232
903,89089968d2bffff,60.25049823,24.78406232
904,89089968d2bffff,60.25049823,24.78406232
905,89089968d2bffff,60.25049823,24.78406232
906,89089968d2bffff,60.25049823,24.78406232
907,89089968d2bffff,60.25049823,24.78406232
